gvkey,conm,cik,nobs
176768,BRIDGELINE DIGITAL INC,0001378590,7
019998,MEDPACE HOLDINGS INC,0001668397,22
004340,EMULEX CORP,0000350917,56
020129,MATERIALISE NV  -ADR,0001091223,66
022653,VISTA OUTDOOR INC,0001616318,9
064634,DECRANE AIRCRAFT HLDGS INC,0000880765,33
014124,ARCO CHEMICAL CO,0000819544,1
176362,AEROVIRONMENT INC,0001368622,4
023856,FITBIT INC,0001447599,18
185269,NETSPEND HOLDINGS INC,0001496623,5
129635,VICINITY CORP,0001029784,1
002435,BROWN FORMAN CORP,0000014693,6
029511,CYTEC INDUSTRIES INC,0000912513,9
066683,CORGENIX MEDICAL CORP,0001063665,12
064630,TAKE-TWO INTERACTIVE SFTWR,0000946581,42
175269,CELSIUS HOLDINGS INC,0001341766,4
163429,DYNEGY HOLDINGS INC,0001105055,15
005782,HUNT CORP,0000049146,2
017687,HEMISPHERE MEDIA GROUP INC,0001567345,7
010271,TCBY ENTERPRISES INC,0000740693,3
022991,ULTRA PAC INC,0000813134,1
003158,COHU INC,0000021535,60
063122,ENCISION INC,0000930775,4
015469,DIGITAL COMMUNICATIONS TECH,0000743051,2
110728,INTERPACE BIOSCIENCES INC,0001054102,20
170615,AUDIENCE INC,0001201663,14
018626,GLOBANT SA,0001557860,36
128098,ERBA DIAGNOSTICS INC,0001095858,2
183666,MINIM INC,0001467761,1
063678,ADVANCED FIBRE COMM INC,0000898805,11
007798,NBTY INC,0000070793,8
025625,XXSYS TECHNOLOGIES INC,0000885976,3
001048,ANR PIPELINE CO,0000065695,6
185837,BITAUTO HOLDINGS LTD  -ADR,0001499781,4
064797,NEI WEBWORLD INC,0001035028,2
060916,REMOTE DYNAMICS INC,0000944400,4
157074,CROSSTEX ENERGY INC,0001209821,12
009599,SEMTECH CORP,0000088941,52
012828,NUTRITION 21 INC,0000744962,4
066440,TEKNI-PLEX INC,0001039542,3
123016,LIONBRIDGE TECHNOLOGIES INC,0001058299,286
024608,READ-RITE CORP,0000819480,25
039354,STRONGHOLD DIGITAL MININ INC,0001856028,2
185857,AMBIT BIOSCIENCES CORP,0001131543,3
066403,ARTISAN COMPONENTS INC,0001048982,25
064645,BIO-KEY INTERNATIONAL INC,0001019034,3
006376,KELLWOOD CO,0000055080,13
148285,MRS FIELDS ORIG COOKIES INC,0001043482,6
028321,FILA HOLDINGS SPA,0000903126,7
220474,PETROBRAS ARGENTINA SA,0001449877,3
029266,TV GUIDE INC,0000913061,2
004809,FLOWERS FOODS INC,0001128928,45
114881,KIDOZ INC,0001318482,5
033317,UNITY BIOTECHNOLOGY INC,0001463361,1
014815,GLEN ROSE PETROLEUM CORP,0000354567,9
019950,EGLOBE INC,0000842807,13
015290,ARMOR HOLDINGS INC,0000845752,7
038643,VACCITECH PLC -ADR,0001828185,4
184009,FINANCIAL ENGINES INC,0001430592,37
031823,VENATOR MATERIALS PLC,0001705682,94
065819,ICON HEALTH & FITNESS INC,0000934798,10
014793,ARCH RESOURCES INC,0001037676,68
010519,TEXTRON INC,0000217346,4
138346,VIRAGE LOGIC CORP,0001050776,18
021841,COHERUS BIOSCIENCES INC,0001512762,20
008964,RAYTECH CORP,0000797917,22
039418,ROCKLEY PHOTONICS HLDING LTD,0001852117,2
184466,LIANDI CLEAN TECHNOLOGY INC,0001353386,4
171180,CHINA INDUSTRIAL STEEL INC,0001510871,26
029612,CELADON GROUP INC,0000865941,10
129632,ACCESS PLANS USA INC,0001017440,6
177966,ALLISON TRANSMISSION HLDGS,0001411207,41
124556,DADE BEHRING INC,0000942307,1
021010,TRANSOCEAN PARTNERS LLC,0001607250,8
186106,MOTOROLA MOBILITY HLDGS INC,0001495569,6
002596,CACI INTL INC  -CL A,0000016058,6
061590,NETTER DIGITAL ENTMT INC,0001001592,2
006130,INTERPHASE CORP,0000728249,49
113419,CONVERGYS CORP,0001062047,118
012686,JURA ENERGY CORP,0001374415,21
005071,GENERAL MILLS INC,0000040704,61
015068,YAPPN CORP,0001511735,2
114611,VIASYSTEMS INC,0001041380,16
209341,UNITED MICROELECTRONICS CORP,0001033767,3
003334,COMPUTER RESEARCH INC,0000201511,1
190957,SEVENTY SEVEN ENERGY INC,0001532930,3
026269,MYOKARDIA INC,0001552451,5
165845,NTELOS HOLDINGS CORP,0001328571,11
037811,SIGNIFY HEALTH INC,0001828182,8
013616,SECOM GENERAL CORP,0000790375,1
183831,BERGIO INTERNATIONAL INC,0001431074,7
007017,MARATHON OIL CORP,0000101778,20
023080,SYLVAN INC,0000861291,4
022823,IKOS SYSTEMS INC,0000756365,6
132758,RADVISION LTD,0001105519,4
066726,APPLIED NEUROSOLUTIONS INC,0000872947,3
063489,INTERLINK COMPUTER SCIENCES,0000745597,1
009799,SOLITRON DEVICES INC,0000091668,39
030172,LXR BIOTECHNOLOGY INC,0000899504,2
018677,PATTERN ENERGY GROUP INC,0001561660,32
