gvkey,conm,cik,nobs
001444,AMERICAN VANTAGE COMPANIES,0000315428,3
065708,TROPICAL SPORTSWEAR INTL CP,0001044324,12
027274,NANTHEALTH INC,0001566469,1
028884,ASYST TECHNOLOGIES INC,0000909326,39
064682,EXIGENT INTL INC,0001015854,4
061596,BUCKEYE TECHNOLOGIES INC,0000899597,14
035543,OPTION CARE HEALTH INC,0001014739,3
178835,QUEST ENERGY PARTNERS LP,0001407185,6
021604,PARAMOUNT GROUP INC,0001605607,89
012730,DATA DIMENSIONS INC,0000026990,3
276731,PLANET PAYMENT INC,0001362925,16
014386,GSI COMMERCE INC,0000828750,2
025813,COPLEY PHARMACEUTICAL INC,0000829987,1
124996,EPCOS AG,0001095409,17
002226,BIOGEN INC-OLD,0000714655,3
066698,CURAGEN CORP,0001030653,24
063018,DATATRAK INTERNATIONAL INC,0000886530,43
121257,GREAT ELM GROUP INC,0001831096,36
012421,KASPIEN HOLDINGS INC,0000795212,1
023006,TRANSATLANTIC HOLDINGS INC,0000862510,9
010686,TRANSNET CORP,0000099313,12
013365,BARR PHARMACEUTICALS INC,0000010081,28
039056,BLEND LABS INC,0001855747,1
007585,MOTOROLA SOLUTIONS INC,0000068505,56
001951,BSD MEDICAL CORP,0000320174,15
